Name,ROUGE-L,BLEU-4,METEOR,BERTScore,BLEURT,SIDE_true,SIDE_pred
deepseek-coder-7b-instruct-v1.5/method-level-mce-few-shot-1-eval.json,0.22503660754802307,0.025199860901514777,0.352565333222624,0.614819227680564,0.5324583725631237,0.47645998092368247,0.8981572579685598
deepseek-coder-7b-instruct-v1.5/method-level-mce-few-shot-5-eval.json,0.34608725041280075,0.07201665301079854,0.41556598778082504,0.6914551448076963,0.5795840157568455,0.47645998092368247,0.673749522715807
deepseek-coder-7b-instruct-v1.5/method-level-mce-few-shot-0-eval.json,0.1929163854927239,0.018792949782128896,0.3135862060861376,0.5811195903271437,0.5126316053047776,0.47645998092368247,0.935634194901213
deepseek-coder-7b-instruct-v1.5/method-level-mcsn-few-shot-4-eval.json/total,0.2604330708136521,0.045852653227022866,0.3607063304253448,0.6466465940694359,0.5163646473852044,0.21233642402176672,0.560637061040451
deepseek-coder-7b-instruct-v1.5/method-level-mcsn-few-shot-4-eval.json/apache/airflow,0.22526735147796317,0.014185162221330169,0.30348104138000215,0.628901691086152,0.49143566068481,0.19128735236385289,0.5616510087032528
deepseek-coder-7b-instruct-v1.5/method-level-mcsn-few-shot-4-eval.json/Azure/azure-sdk-for-python,0.3545894474919069,0.12137254821530594,0.48575694229835253,0.6991448356555059,0.5718280658548177,0.24571481429281747,0.45502005285217695
deepseek-coder-7b-instruct-v1.5/method-level-mcsn-few-shot-4-eval.json/streamlink/streamlink,0.2094715966995401,0.007370064367222075,0.29225213011850126,0.6192942914125081,0.5009359258252222,0.22773472655161814,0.6881466878427042
deepseek-coder-7b-instruct-v1.5/method-level-mcsn-few-shot-4-eval.json/open-mmlab/mmcv,0.18476565019003482,0.006735673076001388,0.33568728933107994,0.5899564022819201,0.4836493204037348,0.20503506852934758,0.8309830757478873
deepseek-coder-7b-instruct-v1.5/method-level-mce-few-shot-9-eval.json,0.355175257582456,0.07875454894296036,0.4225738917176458,0.7012314144521952,0.5926356029510498,0.47645998092368247,0.6553496951516717
deepseek-coder-7b-instruct-v1.5/method-level-mce-few-shot-2-eval.json,0.3122498631186975,0.057888905959634196,0.398285734453775,0.6675195446610451,0.5674928444623947,0.47645998092368247,0.7400498562282882
deepseek-coder-7b-instruct-v1.5/class-level-mce-eval.json,0.2154703027186945,0.029940137403732518,0.34792507483518803,0.5925874131172896,0.5194598370045423,0.47645998092368247,0.9369539686758072
deepseek-coder-7b-instruct-v1.5/method-level-mcsn-few-shot-0-eval.json/total,0.137359388621353,0.008843669356816889,0.2570568331999521,0.5482518827870821,0.46966922662172367,0.21233642402176672,0.788345952455888
deepseek-coder-7b-instruct-v1.5/method-level-mcsn-few-shot-0-eval.json/apache/airflow,0.1372058801223806,0.004147579029941834,0.2412645308665726,0.5496804461058449,0.46543087570106284,0.19128735236385289,0.7861843302495339
deepseek-coder-7b-instruct-v1.5/method-level-mcsn-few-shot-0-eval.json/Azure/azure-sdk-for-python,0.1480268882247875,0.018863657032647033,0.2988375833685256,0.5533979812614348,0.4781406443370016,0.24571481429281747,0.7721340163697598
deepseek-coder-7b-instruct-v1.5/method-level-mcsn-few-shot-0-eval.json/streamlink/streamlink,0.12920833237832166,0.0053998637078999,0.23750947716682072,0.5517714261203199,0.4670849333743791,0.22773472655161814,0.7565114275627846
deepseek-coder-7b-instruct-v1.5/method-level-mcsn-few-shot-0-eval.json/open-mmlab/mmcv,0.1045851698213373,0.005106053540345354,0.22102995897495728,0.5126073504487674,0.4680041710535685,0.20503506852934758,0.9096591606736183
deepseek-coder-7b-instruct-v1.5/skeleton-level-mce-eval.json,0.218074946345759,0.032232632939792644,0.35544620795830584,0.5948052514344454,0.5149222525954247,0.47645998092368247,0.9362695899233222
deepseek-coder-7b-instruct-v1.5/method-level-mce-few-shot-7-eval.json,0.3765440031476266,0.08476512056816535,0.42543344332370536,0.7159561961144209,0.5944065003097058,0.47645998092368247,0.5644022893952205
deepseek-coder-7b-instruct-v1.5/method-level-mce-few-shot-3-eval.json,0.2975006722232569,0.05204859510339328,0.3901003248946847,0.6596100836247206,0.5649986150860786,0.47645998092368247,0.7964667722675949
deepseek-coder-7b-instruct-v1.5/method-level-mcsn-few-shot-6-eval.json/total,0.29386135871297026,0.05713788432727218,0.3762493736567088,0.6763655182445611,0.5331012724203152,0.21233642402176672,0.41279075587071273
deepseek-coder-7b-instruct-v1.5/method-level-mcsn-few-shot-6-eval.json/apache/airflow,0.26416967861168716,0.02056317852226555,0.32350726546825415,0.6604412057820488,0.5107713917073081,0.19128735236385289,0.36284746628912057
deepseek-coder-7b-instruct-v1.5/method-level-mcsn-few-shot-6-eval.json/Azure/azure-sdk-for-python,0.38913751120893864,0.14380072831642207,0.49397989272253345,0.725456250341315,0.5851678289623878,0.24571481429281747,0.40694491265092786
deepseek-coder-7b-instruct-v1.5/method-level-mcsn-few-shot-6-eval.json/streamlink/streamlink,0.21457425348647882,0.0125605311040979,0.29478975871977664,0.6432527875578081,0.5111899810868341,0.22773472655161814,0.5570681399187526
deepseek-coder-7b-instruct-v1.5/method-level-mcsn-few-shot-6-eval.json/open-mmlab/mmcv,0.20974469476798982,0.014425411665983347,0.3656488615928313,0.6279115855693818,0.50395452901721,0.20503506852934758,0.6126790046691895
deepseek-coder-7b-instruct-v1.5/method-level-mce-few-shot-4-eval.json,0.3358622444151505,0.06860155597668473,0.4150255276765778,0.6884360805153846,0.5808086174726487,0.47645998092368247,0.6742756325355731
deepseek-coder-7b-instruct-v1.5/method-level-mce-few-shot-6-eval.json,0.3700348506103011,0.08190107164430677,0.42540626818019966,0.7072042125463486,0.5897435587644577,0.47645998092368247,0.590232026996091
deepseek-coder-7b-instruct-v1.5/method-level-mcsn-few-shot-7-eval.json/total,0.32347722352693664,0.06661442016976894,0.3908743033939303,0.6984017198493996,0.5429289391999209,0.21233642402176672,0.3521163463141889
deepseek-coder-7b-instruct-v1.5/method-level-mcsn-few-shot-7-eval.json/apache/airflow,0.2808294581001415,0.026946706744194904,0.32740086716591027,0.6770331942333895,0.5167191276830786,0.19128735236385289,0.31015136347316646
deepseek-coder-7b-instruct-v1.5/method-level-mcsn-few-shot-7-eval.json/Azure/azure-sdk-for-python,0.4243425705530788,0.16185822173525982,0.5148673347730136,0.7440530379050174,0.5984465545005644,0.24571481429281747,0.36553067356529023
